"cgm","sl","ra","dec","z","r","mstar","mstar eb","rvir","sfr","sfr eb","log Ne VIII:cdens", "log Ne VIII:eb"

J0235-0402_121_47,PHL1377,2:35:10.1,-4:02:29.7,0.51186,301,10.9,0.1,242,5.7,0.1,13.63,NaN
J0235-0402_55_37,PHL1377,2:35:09.4,-4:01:44.5,1.02686,303,10.9,0.1,196,0.3,NaN,13.44,nan
J0235-0402_221_15,PHL1377,2:35:06.8,-4:02:16.7,0.80770,113,9.8,0.2,131,0.5,0.1,14.07,0.05
J0235-0402_22_56,PHL1377,2:35:08.8,-4:01:13.6,0.70420,414,9.0,0.2,102,1.6,0.1,13.58,nan
J0235-0402_313_38,PHL1377,2:35:05.5,-4:01:39.6,0.91890,309,9.8,0.2,126,84.7,5.7,13.79,nan
J0235-0402_360_28,PHL1377,2:35:07.4,-4:01:37.3,0.92630,229,9.9,0.2,131,3.4,0.2,14.70,nan
J0235-0402_185_20,PHL1377,2:35:07.3,-4:02:25.4,1.08940,166,9.9,0.2,123,13.8,0.3,14.19,0.06
J0235-0402_14_46,PHL1377,2:35:08.1,-4:01:21.4,1.03540,379,9.7,0.2,114,8.7,0.3,13.45,nan
J0751+2919_183_39,FBQS0751+0919,7:51:12.2,29:18:59.6,0.49390,242,9.9,0.2,156,211.7,9.5,13.65,nan
J0751+2919_225_19,FBQS0751+0919,7:51:11.3,29:19:24.5,0.52123,124,9.7,0.2,146,1.9,0.3,13.30,nan
J0751+2919_0_64,FBQS0751+0919,7:51:12.3,29:20:42.3,0.52976,415,10.1,0.2,171,1.4,0.2,13.22,nan
J0751+2919_60_29,FBQS0751+0919,7:51:14.2,29:19:52.5,0.69730,211,10.5,0.1,182,0.8,0.1,14.531,nan
J0751+2919_29_23,FBQS0751+0919,7:51:13.1,29:19:58.0,0.66930,163,9.5,0.3,126,1.1,0.0,13.12,nan
J0751+2919_124_25,FBQS0751+0919,7:51:13.9,29:19:24.2,0.61560,174,10.9,0.1,226,1.2,0.2,13.43,0.09
J1632+3737_102_48,PG1630+377,16:32:05.1,37:37:39.7,0.55530,321,10.3,0.2,178,0.4,nan,13.60,nan
J1632+3737_148_23,PG1630+377,16:32:02.2,37:37:30.3,0.71860,173,8.9,0.2,98,0.5,nan,13.34,nan
J1632+3737149_25,PG1630+377,16:32:02.2,37:37:28.2,0.91400,205,9.0,0.0,91,22.8,0.2,14.42,0.02
J1632+3737_260_25,PG1630+377,16:31:59.1,37:37:45.7,1.43315,215,9.4,0.2,89,7.8,0.3,14.03,nan
J1632+3737_234_52,PG1630+377,16:31:57.6,37:37:19.6,0.62010,362,10.5,0.1,191,0.8,nan,13.08,nan
J1632+3737_143_51,PG1630+377,16:32:03.7,37:37:09.7,0.63930,359,9.4,0.2,121,3.2,0.3,13.94,nan
J1409+2618_93_21,PG1407+265,14:09:25.5,26:18:19.9,0.67760,153,10.2,0.2,166,0.3,nan,13.32,0.11
J1409+2618_72_13,PG1407+265,14:09:24.8,26:18:25.0,0.68260,91,10.9,0.1,220,0.3,nan,13.32,0.11
J1409+2618_188_66,PG1407+265,14:09:23.3,26:17:15.7,0.48227,407,9.7,0.3,145,14.2,0.8,13.642,nan
J1409+2618_207_33,PG1407+265,14:09:22.8,26:17:51.8,0.66740,237,10.3,0.2,170,4.7,0.2,13.28,nan
J1409+2618_285_14,PG1407+265,14:09:22.9,26:18:24.6,0.59980,95,9.9,0.2,154,1.6,0.1,14.18,0.05
J1409+2618_70_49,PG1407+265,14:09:27.3,26:18:37.4,0.87180,386,10.7,0.1,191,0.6,nan,12.97,nan
J1409+2618_245_62,PG1407+265,14:09:19.7,26:17:54.6,0.57543,420,10.6,0.2,203,0.1,nan,13.80,0.08
J1151+5437_0_55,PG1148+549,11:51:20.5,54:38:27.6,0.57963,369,11.3,0.2,288,0.4,nan,13.503,nan
J1151+5437_143_29,PG1148+549,11:51:22.5,54:37:09.7,0.72492,219,10.4,0.1,173,91.7,15.5,13.61,0.10
J1208+4540_178_9,PG1206+459,12:08:58.0,45:40:26.9,0.92730,69,11.2,0.1,229,3.1,0.2,14.98,0.09


