Tumlinson et al. 2011
https://arxiv.org/pdf/1111.3980.pdf

sl,cgm,z,log Mstar,sfr,Rvir,r,log O VI:cdens,log O VI:eb

J0226+0015,268_22,0.22744,10.8,0.09,303,80,13.53,nan
J0401−0540,67_24,0.21969,10.2,1.14,200,85,14.57,0.03
J0910+1014,34_46,0.14274,10.6,14.12,279,112,14.70,0.10
J0914+2823,41_27,0.24431,9.8,2.83,169,104,14.69,0.04
J0928+6025,110_35,0.15400,10.8,0.04,317,93,14.19,nan
J0935+0204,15_28,0.26228,11.0,0.10,365,113,13.96,nan
J0943+0531,106_34,0.22839,10.8,4.52,300,121,13.56,nan
J0943+0531,216_61,0.14311,11.0,0.03,382,152,13.80,nan
J0943+0531,227_19,0.35295,9.6,0.47,141,96,14.44,0.23
J0950+4831,177_27,0.21194,11.2,0.30,511,93,14.28,0.04
J1009+0713,204_17,0.22784,9.9,4.58,174,63,15.00,0.03
J1009+0713,170_9,0.35569,10.3,3.04,189,46,15.07,0.02
J1016+4706,274_6,0.25195,10.2,0.64,202,23,14.86,0.02
J1016+4706,359_16,0.16614,10.5,1.37,251,45,14.70,0.03
J1112+3539,236_14,0.24670,10.3,5.68,214,53,14.70,0.04
J1133+0327,164_21,0.15449,10.1,1.83,206,55,14.43,0.08
J1157−0022,230_7,0.16378,10.9,0.09,334,19,13.56,nan
J1220+3853,225_38,0.27371,10.8,0.13,279,156,14.37,0.07
J1233+4758,94_38,0.22210,10.8,4.38,295,135,14.38,0.06
J1233−0031,168_7,0.31850,10.6,3.42,230,29,14.68,0.03
J1241+5721,199_6,0.20526,10.2,4.32,205,21,14.81,0.02
J1241+5721,208_27,0.21780,10.1,1.06,192,93,14.76,0.02
J1245+3356,236_36,0.19248,9.9,1.05,178,113,14.34,0.05
J1330+2813,289_28,0.19236,10.3,1.99,225,89,14.38,0.04
J1342−0053,157_10,0.22702,11.0,6.04,345,34,14.48,0.03
J1342−0053,77_10,0.20127,10.5,0.30,247,31,13.38,nan
J1419+4207,132_30,0.17925,10.6,11.36,272,90,14.59,0.05
J1435+3604,126_21,0.26226,10.4,5.56,218,84,14.57,0.05
J1435+3604,68_12,0.20237,11.1,18.96,433,37,14.73,0.04
J1437+5045,317_38,0.24600,10.2,4.29,196,144,14.57,0.18
J1445+3428,232_33,0.21764,10.4,2.60,230,113,14.29,0.06
J1550+4001,197_23,0.31247,11.4,0.16,578,106,13.73,0.13
J1550+4001,97_33,0.32179,10.9,7.42,311,151,13.68,nan
J1555+3628,88_11,0.18930,10.5,4.18,254,32,14.56,0.05
J1617+0638,253_39,0.15258,11.5,0.23,912,102,14.17,nan
J1619+3342,113_40,0.14137,10.1,1.33,211,98,14.27,0.05
J2257+1340,270_40,0.17675,10.9,0.06,348,119,14.14,nan
